Index,Date,Year,Country,Area,Location,Injury,lat,lng,success,lookupstring,failedstrings,confidence,match loop
66,2006-04-13,2006.0,USA,Florida,"Port of the Islands, Collier County",3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT,26.0,-82.0,Yes,"Port of the Islands, Collier County, USA",,0.9,4.0
67,2006-01-04,2006.0,USA,Florida,"Round Island Park, Indian River County",3 puncture wounds in right wrist & hand,28.0,-80.0,Yes,"Round Island Park, Indian River County, USA",,1.0,4.0
68,2005-11-15,2005.0,SOUTH AFRICA,Eastern Cape Province,Aston Bay,Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT,-34.0,25.0,Yes,"Aston Bay, Eastern Cape Province, SOUTH AFRICA",,0.9,1.0
69,2005-11-12,2005.0,USA,Florida,"New Smyrna  Beach, Volusia County",Puncture wounds to right foot,29.0,-81.0,Yes,"New Smyrna  Beach, Volusia County, Florida, USA",,1.0,1.0
70,2005-10-06,2005.0,USA,Florida,"Ponce Inlet, Volusia County",Five 1-inch lacerations to left foot,29.0,-81.0,Yes,"Ponce Inlet, Volusia County, Florida, USA",,1.0,1.0
71,2004-02-11,2004.0,AUSTRALIA,New South Wales,Caves Beach,Leg bitten,-33.0,152.0,Yes,"Caves Beach, New South Wales, AUSTRALIA",,1.0,1.0
72,2004-01-23,2004.0,URUGUAY,Rocha,Ensenada de la Coronilla,Puncture wounds to dorsum of right foot,-34.0,-54.0,Yes,"Ensenada de la Coronilla, Rocha, URUGUAY",,1.0,1.0
73,2004-01-03,2004.0,EGYPT,Sinai Peninsula,Off Sharm El-Sheikh,"No survivors, sharks scavenged on remains",28.0,34.0,Yes,"Off Sharm El-Sheikh, EGYPT",,1.0,4.0
74,2003-04-21,2003.0,USA,Florida,"Shepard Park, Cocoa Beach, Brevard County",Survived,28.0,-81.0,Yes,"Shepard Park, Cocoa Beach, Brevard County, Florida, USA",,1.0,1.0
75,2003-04-19,2003.0,USA,Florida,"New Smyrna Beach, Volusia County",Left foot bitten,29.0,-81.0,Duplicate,"New Smyrna Beach, Volusia County, Florida, USA",,,1.0
76,2002-11-11,2002.0,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",1.5-inch laceration,29.0,-81.0,Yes,"Ponce Inlet, New Smyrna Beach, Volusia County, Florida, USA",,1.0,1.0
77,2002-07-04,2002.0,USA,North Carolina,"Wrightsville Beach, New Hanover County","Calf, foot & hand bitten",34.0,-78.0,Yes,"Wrightsville Beach, New Hanover County, North Carolina, USA",,1.0,1.0
78,2002-06-20,2002.0,USA,Florida,"New Smyrna Beach, Volusia County",Small lacerations on right lower leg,29.0,-81.0,Duplicate,"New Smyrna Beach, Volusia County, Florida, USA",,,1.0
79,2002-06-09,2002.0,USA,Florida,"South of Ponce Inlet, New Smyrna Beach, Volusia County",6-inch gash on right foot,29.0,-81.0,Yes,"South of Ponce Inlet, New Smyrna Beach, Volusia County, Florida, USA",,1.0,1.0
80,2002-05-31,2002.0,USA,Florida,"St. George Island (near Apachicola), Franklin County",Lacerated foot,29.0,-81.0,Duplicate,"Florida, USA",,0.6561000000000001,5.0
81,2001-09-08,2001.0,USA,Florida,"Everglades National Park, Monroe County",Fingers & leg lacerated  by hooked shark PROVOKED INCIDENT,29.0,-81.0,Duplicate,"Florida, USA",,0.675,5.0
82,2001-08-31,2001.0,BAHAMAS,Abaco Islands,North of Grand Cay,Torso lacerated,26.0,-77.0,Yes,"Abaco Islands, BAHAMAS",,0.9,5.0
83,2001-07-21,2001.0,USA,Massachusetts,Chatham Island,No Injury to occupants; shark bumped the boat,42.0,-72.0,Yes,"Chatham Island, Massachusetts, USA",,1.0,1.0
84,2001-07-15,2001.0,USA,Florida,"Santa Rosa Island, Escambia County",Left foot & heel lacerated,31.0,-87.0,Yes,"Santa Rosa Island, Escambia County, USA",,0.9,4.0
85,2001-07-15,2001.0,USA,Florida,"Amelia Island, Nassau County",Foot lacerated,41.0,-74.0,Yes,"Amelia Island, Nassau County, USA",,0.9,4.0
86,2001-07-06,2001.0,MEXICO,Baja California,Ensenada,Foot bitten,32.0,-117.0,Yes,"Ensenada, Baja California, MEXICO",,1.0,1.0
87,2001-05-04,2001.0,AUSTRALIA,New South Wales,Noraville,"Chest lacerated, surfboard bitten",-33.0,152.0,Yes,"Noraville, New South Wales, AUSTRALIA",,1.0,1.0
88,2001-04-02,2001.0,AUSTRALIA,New South Wales,Nambucca River Entrance,Calf bitten,-31.0,153.0,Yes,"Nambucca River Entrance, AUSTRALIA",,1.0,4.0
89,2000-10-29,2000.0,AUSTRALIA,Queensland,Peel Island,"No Injury to occupant, shark holed and sank boat",-22.0,145.0,Yes,"Peel Island, Queensland, AUSTRALIA",,1.0,1.0
90,2000-09-11,2000.0,USA,Florida,"Daytona Beach Shores, Volusia County",Finger lacerated,29.0,-81.0,Yes,"Daytona Beach Shores, Volusia County, Florida, USA",,1.0,1.0
91,2000-07-16,2000.0,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Hand lacerated,-33.0,28.0,Yes,"Nahoon, East London, Eastern Cape Province, SOUTH AFRICA",,0.9,1.0
92,2000-06-10,2000.0,USA,Texas,"J.P. Luby Surf Park, Corpus Christi",Foot lacerated,28.0,-97.0,Yes,"J.P. Luby Surf Park, Corpus Christi, Texas, USA",,1.0,1.0
93,1999-09-04,1999.0,USA,Florida,"Ponce Inlet, Volusia County",Right foot bitten,29.0,-81.0,Duplicate,"Ponce Inlet, Volusia County, Florida, USA",,,1.0
94,1999-08-26,1999.0,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",3-inch laceration to right foot,29.0,-81.0,Yes,"Bethune Beach, south of New Smyrna Beach, Volusia County, Florida, USA",,0.81,1.0
95,1999-08-05,1999.0,USA,Florida,"New Smyrna Beach, Volusia County",Right ankle & heel  lacerated,29.0,-81.0,Duplicate,"New Smyrna Beach, Volusia County, Florida, USA",,,1.0
96,1999-07-21,1999.0,USA,Hawaii,Honoli'i in Hilo (west side of Big Island),Right thigh & buttock bitten,20.0,-155.0,Yes,"Honoli'i in Hilo, Hawaii, USA",,1.0,2.0
97,1997-08-14,1997.0,MEXICO,Quintana Roo,"Santa Rosa, Cozumel","FATAL, arm & leg severed",20.0,-87.0,Yes,"Santa Rosa, Cozumel, Quintana Roo, MEXICO",,1.0,1.0
98,1997-08-02,1997.0,USA,Florida,"New Smyrna Beach, Volusia County",Top of left foot bitten,29.0,-81.0,Duplicate,"New Smyrna Beach, Volusia County, Florida, USA",,,1.0
99,1996-02-09,1996.0,PAPUA NEW GUINEA,Madang Province,Madang,Thigh,-5.0,146.0,Yes,"Madang, Madang Province, PAPUA NEW GUINEA",,0.9,1.0
100,1995-09-30,1995.0,USA,Florida,"North Beach, Hutchinson Island, St. Lucie County",Leg & ankle bitten,32.0,-81.0,Yes,"North Beach, Hutchinson Island, St. Lucie County, USA",,1.0,4.0
101,1995-09-28,1995.0,USA,California,"Davenport Landing, Santa Cruz County","Right foot bruised, board bitten",37.0,-122.0,Yes,"Davenport Landing, Santa Cruz County, California, USA",,1.0,1.0
102,1994-01-01,1994.0,USA,Florida,"Flagler Beach, Flagler County",Left foot bitten,29.0,-81.0,Yes,"Flagler Beach, Flagler County, Florida, USA",,1.0,1.0
103,1993-11-21,1993.0,AUSTRALIA,Western Australia,A pearl  farm in Roebuck Bay,FATAL,-25.0,121.0,Yes,"Western Australia, AUSTRALIA",,1.0,5.0
104,1993-09-16,1993.0,EL SALVADOR,La Libertad,near El Cocal Beach,Left leg gashed,13.0,-89.0,Yes,"La Libertad, EL SALVADOR",,1.0,5.0
105,1993-02-18,1993.0,TONGA,Tongapatu Group,Between 'Ata and Tongapatu,Foot bitten,,,Yes,"Between 'Ata and Tongapatu, Tongapatu Group, TONGA",,0.2,
106,1992-12-23,1992.0,USA,Hawaii,"Chun's Reef, Laniakea, O'ahu","Minor lacerations to hand, 15 crescent-shaped piece removed from surfboard",20.0,-156.0,Yes,"Laniakea, O'ahu, Hawaii, USA",,1.0,2.0
107,1992-09-01,1992.0,USA,Florida,St Lucie County,"Foot bitten, 8 stitches needed to repair the wound",27.0,-80.0,Yes,"St Lucie County, USA",,0.9,4.0
108,1992-01-08,1992.0,SOUTH AFRICA,KwaZulu-Natal,Sheffield Beach,Left cheek lacerated,-29.0,31.0,Yes,"Sheffield Beach, KwaZulu-Natal, SOUTH AFRICA",,1.0,1.0
109,1991-11-19,1991.0,USA,Hawaii,"Maliko Point, Maui","Body not recovered, shorts found indicating shark bite on left side",20.0,-155.0,Duplicate,"Maui, Hawaii, USA",,0.5,2.0
110,1991-07-18,1991.0,USA,Florida,150 miles from Crystal River,Punctures in lower abdomen & groin,29.0,-81.0,Duplicate,"Florida, USA",,0.0,5.0
111,1991-04-03,1991.0,USA,Hawaii,"One'ula Beach Park, 'Ewa Beach, O'ahu",Deep lacerations to calf & ankle,20.0,-155.0,Yes,"Hawaii, USA",,1.0,5.0
112,1990-08-19,1990.0,USA,Texas,"Mustang Island, Nueces County",Minor cuts to foot,28.0,-98.0,Yes,"Mustang Island, Nueces County, Texas, USA",,0.9,1.0
113,1989-10-29,1989.0,AUSTRALIA,Northern Territory,Edith Falls,Puncture marks to right calf,-14.0,132.0,Yes,"Edith Falls, Northern Territory, AUSTRALIA",,1.0,1.0
114,1989-06-29,1989.0,USA,Hawaii,"Anahola, Kaua'i",Foot & ankle severely bitten,22.0,-159.0,Yes,"Anahola, Kaua'i, Hawaii, USA",,1.0,1.0
115,1989-06-06,1989.0,ITALY,Tuscany,"Marinella, between Punta Blanca & Marine del Carrara",Upper right thigh bitten,46.0,13.0,Yes,"Marinella, between Punta Blanca & Marine del Carrara, Tuscany, ITALY",,1.0,1.0
116,1988-10-22,1988.0,AUSTRALIA,Victoria,Phillip Island,Lacerations to right leg,-37.0,145.0,Yes,"Phillip Island, Victoria, AUSTRALIA",,1.0,1.0
117,1988-03-14,1988.0,REUNION ISLAND,Saint-Pierre,Pic du Diable,Laceration to hand,,,Yes,"Pic du Diable, Saint-Pierre, REUNION ISLAND",,0.25,
118,1987-07-12,1987.0,USA,Texas,"Mustang Island, near Port Aransas",Left foot bitten,28.0,-97.0,Yes,"Mustang Island, near Port Aransas, Texas, USA",,1.0,1.0
119,1985-02-03,1985.0,USA,Florida,"15 miles north of Sebastian Inlet, Brevard County",Right foot bitten,29.0,-81.0,Duplicate,"Florida, USA",,0.0,5.0
120,1983-08-20,1983.0,SOUTH AFRICA,Western Cape Province,"Seal Island, False Bay",Inner thighs lacerated,-34.0,19.0,Yes,"Seal Island, False Bay, Western Cape Province, SOUTH AFRICA",,0.9,1.0
121,1983-07-05,1983.0,USA,Florida,"Riviera Beach, Palm Beach County","No injury, shark bit air mattress, deflating it",27.0,-80.0,Yes,"Riviera Beach, Palm Beach County, Florida, USA",,1.0,1.0
122,1982-02-17,1982.0,SOUTH AFRICA,Western Cape Province,Mossel Bay,Leg bitten above ankle by hooked shark taken aboard skiboat PROVOKED INCIDENT,-34.0,22.0,Yes,"Mossel Bay, Western Cape Province, SOUTH AFRICA",,1.0,1.0
123,1981-09-03,1981.0,USA,Florida,"Cocoa Beach, Brevard County",Laceration to foot,28.0,-81.0,Yes,"Cocoa Beach, Brevard County, Florida, USA",,1.0,1.0
124,1981-08-29,1981.0,USA,Florida,"New Smyrna Beach, Volusia County",Laceration to left ankle,29.0,-81.0,Duplicate,"New Smyrna Beach, Volusia County, Florida, USA",,,1.0
125,1979-10-22,1979.0,SOUTH AFRICA,Eastern Cape Province,Algoa Bay,Bitten below right knee by hooked shark pulled onboard skiboat PROVOKED INCIDENT,-34.0,26.0,Yes,"Algoa Bay, Eastern Cape Province, SOUTH AFRICA",,0.81,1.0
126,1979-02-21,1979.0,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Punctures on left thigh,-34.0,27.0,Yes,"Port Alfred, Eastern Cape Province, SOUTH AFRICA",,1.0,1.0
127,1978-08-01,1978.0,USA,Florida,Florida Straits,Minor injury to ankle,29.0,-81.0,Duplicate,"Florida, USA",,0.567,5.0
128,1975-11-19,1975.0,AUSTRALIA,New South Wales,"Queenscliff, Sydney",Laceration to posterior thigh,-34.0,151.0,Yes,"Queenscliff, Sydney, New South Wales, AUSTRALIA",,1.0,1.0
129,1975-07-26,1975.0,AUSTRALIA,Queensland,Maroochydore,Buttocks & leg bitten,-27.0,153.0,Yes,"Maroochydore, Queensland, AUSTRALIA",,1.0,1.0
130,1975-07-15,1975.0,USA,Florida,"New Smyrna Beach, Volusia County",Arm lacerated,29.0,-81.0,Duplicate,"New Smyrna Beach, Volusia County, Florida, USA",,,1.0
131,1975-07-05,1975.0,AUSTRALIA,Western Australia,"15 km north of Lancelin, north of Perth",Speared shark bit his arm  between elbow and shoulder PROVOKED INCIDENT,-32.0,116.0,Yes,"15 km north of Lancelin, north of Perth, Western Australia, AUSTRALIA",,1.0,1.0
132,1975-03-13,1975.0,AUSTRALIA,Queensland,Southport Aquarium,Laceration to thigh by captive shark PROVOKED INCIDENT,-22.0,145.0,Duplicate,"Queensland, AUSTRALIA",,0.33333333333333337,5.0
133,1974-12-12,1974.0,AUSTRALIA,Western Australia,Geographe Bay,Survived,-34.0,115.0,Yes,"Geographe Bay, Western Australia, AUSTRALIA",,1.0,1.0
134,1973-11-24,1973.0,USA,Florida,"Ormond By The Sea, Volusia County",Foot bitten,29.0,-81.0,Yes,"Ormond By The Sea, Volusia County, Florida, USA",,1.0,1.0
135,1970-12-13,1970.0,MOZAMBIQUE,Inhambe Province,"Inhambe Bay Estuary, 10 to 12 miles inland from the sea","FATAL, decapitated and arm severed",,,Yes,"Inhambe Bay Estuary, 10 to 12 miles inland from the sea, Inhambe Province, MOZAMBIQUE",,0.63,
136,1969-08-29,1969.0,USA,Florida,"North Beach, St. Lucie County",Laceration to right leg,28.0,-80.0,Yes,"North Beach, St. Lucie County, Florida, USA",,1.0,1.0
137,1967-07-29,1967.0,USA,Florida,Florida Keys,Foot lacerated,29.0,-81.0,Yes,"Florida Keys, Florida, USA",,1.0,1.0
138,1966-08-28,1966.0,AUSTRALIA,Northern Territory,Darwin Harbour,"No injury to occupant. Shark struck vessel, jamming centreboard",-12.0,131.0,Yes,"Darwin Harbour, Northern Territory, AUSTRALIA",,1.0,1.0
139,1966-01-29,1966.0,SOUTH AFRICA,Western Cape Province,Strandfontein Beach,Left leg lacerated by hooked shark  PROVOKED INCIDENT,-32.0,18.0,Yes,"Strandfontein Beach, Western Cape Province, SOUTH AFRICA",,0.81,1.0
140,1966-01-22,1966.0,USA,California,"Pebble Beach, Cypress Point, Monterey County","Hand, arm & thigh bitten",34.0,-117.0,Yes,"Pebble Beach, Cypress Point, Monterey County, California, USA",,1.0,1.0
141,1965-05-29,1965.0,MEXICO,Veracruz,Playa Mocambo,"FATAL, left leg & right arm severed",19.0,-96.0,Yes,"Playa Mocambo, Veracruz, MEXICO",,1.0,1.0
142,1965-02-04,1965.0,USA,Massachusetts,"Granite Pier, Rockport",Punctures on left thigh,43.0,-71.0,Yes,"Granite Pier, Rockport, Massachusetts, USA",,1.0,1.0
143,1964-03-28,1964.0,AUSTRALIA,South Australia,Surfers Paradise Beach near Victor Harbour,Left thigh lacerated,-36.0,139.0,Yes,"Surfers Paradise Beach near Victor Harbour, South Australia, AUSTRALIA",,0.9,1.0
